FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,TOTAL,DEMANDA MAXIMA
05/03/2018,886.91,830.96,801.33,792.43,797.49,857.18,1008.83,1039.98,1144.4,1196.212,1245.512,1256.224,1203.612,1248.778,1300.908,1291.68,1268.352,1214.366,1349.93,1458.32,1436.66,1331.5,1203.08,1043.06,27139.406,1462.57
06/03/2018,941.69,893.01,866.64,845.04,844.76,908.04,987.008,1035.742,1124.782,1137.716,1164.732,1140.018,1101.414,1147.008,1199.312,1204.638,1184.37,1155.978,1313.48,1386.16,1351.83,1253.03,1094.77,962.76,26223.6381,1388.4
07/03/2018,877.66,831.77,816.38,809.36,824.22,883.12,999.47,1029.886,1117.844,1144.614,1179.788,1177.496,1129.31,1193.45,1243.11,1254.028,1238.16,1206.68,1365.36,1436.32,1397.43,1292.62,1148.21,1010.66,26507.666,1444.34
08/03/2018,911.22,855.2,827.02,810.93,830.5,903.03,1002.978,1056.882,1152.584,1195.856,1226.384,1218.08,1164.432,1219.496,1276.518,1261.614,1253.372,1219.384,1376.19,1449.01,1416,1327.76,1185.11,1039.75,27083.031,1452.73
09/03/2018,938.39,876.34,856.91,826.81,836.98,901.69,999.477,1040.328,1142.348,1175.122,1205.832,1191.32,1148.31,1195.23,1238.086,1241.724,1206.602,1161.998,1328.85,1419.69,1379.12,1295.1,1151.43,1026.37,26716.3298,1420.83
10/03/2018,935.23,889.02,845.41,834.17,842.23,901.88,865.42,961.228,1066.266,1107.818,1121.26,1112.658,1076.432,1074.666,1086.56,1083.434,1048.272,1045.648,1234.59,1355.31,1329.9,1235.83,1116.99,991.54,25145.748,1359.7
11/03/2018,904.52,847.1,813.17,794.24,791.87,804.96,729.592,803.454,860.89,895.17,912.908,916.548,911.184,926.28,943.428,962.522,964,965.648,1200.21,1309.51,1301.56,1229.83,1088.57,958.92,22821.269,1313.87
12/03/2018,868.35,801.74,788.99,780.37,795.31,876.04,1000.156,1025.606,1131.474,1176.468,1220.322,1239.13,1204.426,1224.246,1287.368,1275.908,1248.852,1208.654,1384.91,1453.46,1419.13,1312.501,1167.031,1020.381,26826.5103,1457.93
13/03/2018,920.19,876.3,855.12,843.29,851.06,908.58,994.326,1035.45,1145.562,1172.722,1214.038,1189.668,1155.044,1212.72,1262.09,1271.134,1254.586,1217.142,1402.26,1460.94,1419.75,1320.31,1174.01,1033.36,27142.613,1462.35
14/03/2018,932.24,885.47,853.57,845.44,855.57,918.84,1026.12,1068.748,1161.458,1186.922,1194.85,1186.764,1153.19,1212.164,1260.646,1272.478,1257.07,1204.31,1394.05,1455.4,1421.73,1310.22,1165.03,1018.08,27289.694,1456.63
15/03/2018,921.65,883.64,852.69,839.9,844.32,921.55,1007.85,1054.578,1153.656,1174.568,1198.142,1183.398,1137.628,1192.79,1259.754,1259.766,1253.772,1238.234,1408.28,1443.19,1408.38,1304.48,1152.74,1007.32,27028.8064,1446.35
16/03/2018,924.04,880.59,862.67,850.63,855.28,920.18,1015.08,1057.786,1150.183,1184.443,1216.23,1192.934,1125.718,1165.054,1190.082,1185.18,1164.854,1142.906,1353.51,1392.34,1346.45,1249.23,1121.26,994.83,26552.638,1393.3
17/03/2018,912.47,866,839.43,821.89,834.9,864.49,856.037,944.526,1038.592,1080.756,1098.656,1080.04,1038.766,1033.68,1044.476,1050.842,1036.032,1041.274,1274.08,1333.99,1305.23,1219.74,1098.59,973.66,24644.785,1336.04
18/03/2018,887.98,842.51,812.08,793.81,788.12,799.01,736.188,795.65,852.148,879.336,911.632,908.81,900.836,890.69,928.18,947.32,958.058,985.698,1233.73,1301.14,1283.4,1205.57,1072.97,946.92,22677.717,1302.49
19/03/2018,865.91,815.12,788.89,779.5,794.78,862.53,992.26,1019.33,1102.57,1143.124,1139.784,1108.798,1065.806,1069.745,1097.799,1105.866,1092.144,1077.622,1301.96,1334.4,1303.05,1197.68,1070.55,945.44,25027.168,1343.26
